url,desktop_response_time,mobile_response_time,desktop_http_status,mobile_http_status,desktop_title,mobile_title,desktop_description,mobile_description,is_mobile_friendly
https://fampay.in/blog/author/garvita/,0.26297450065612793,0.2815399169921875,200,200,Garvita Gulhati - UnRead by FamPay,Garvita Gulhati - UnRead by FamPay,,,True
https://fampay.in/blog/365-days-of-internship-at-fampay/,0.27253198623657227,0.32945919036865234,200,200,My 365 Days of Internship at FamPay 🚀,My 365 Days of Internship at FamPay 🚀,"At FamPay I worked under the growth team, to managing the creator squad, community on Discord and the Brand Ambassador Program. I also briefly worked with the Research Team.","At FamPay I worked under the growth team, to managing the creator squad, community on Discord and the Brand Ambassador Program. I also briefly worked with the Research Team.",True
https://fampay.in/blog/how-instagram-reel-can-really-grow-your-brand/,0.2700812816619873,0.3047473430633545,200,200,How Instagram Reel can really grow your brand 🤳,How Instagram Reel can really grow your brand 🤳,"They say short-form video content is going to blow out of proportion, and ‘Gram is leveraging that to the best of its ability. After the inception of reels on Instagram, many brands grew their followers by thousands, but the most important thing to remember is that quality sells.","They say short-form video content is going to blow out of proportion, and ‘Gram is leveraging that to the best of its ability. After the inception of reels on Instagram, many brands grew their followers by thousands, but the most important thing to remember is that quality sells.",True
https://fampay.in/blog/author/suhani/,0.27234363555908203,0.2456822395324707,200,200,Suhani Malhotra - UnRead by FamPay,Suhani Malhotra - UnRead by FamPay,,,True
https://fampay.in/blog/config-variables-changing-system-behaviour-live-in-production/,0.3166787624359131,0.2759373188018799,200,200,Config Variables: Changing System Behaviour Live In Production 👨‍💻,Config Variables: Changing System Behaviour Live In Production 👨‍💻,I think it’s safe to assume you’ve heard of environment variables. It’s such an intuitive idea. You put a bunch of variables in the .env file that lets you change the behaviour of your code depending on your environment.,I think it’s safe to assume you’ve heard of environment variables. It’s such an intuitive idea. You put a bunch of variables in the .env file that lets you change the behaviour of your code depending on your environment.,True
https://fampay.in/blog/author/sameeran/,0.2751193046569824,0.2913517951965332,200,200,Sameeran Bandishti - UnRead by FamPay,Sameeran Bandishti - UnRead by FamPay,,,True
https://fampay.in/blog/a-marketers-guide-to-moment-marketing/,0.27146482467651367,0.284832239151001,200,200,A marketers guide to moment marketing ⏰,A marketers guide to moment marketing ⏰,Moment Marketing is when brands take advantage of ongoing events by creating marketing communications around these events. It's literally hopping on a bandwagon.,Moment Marketing is when brands take advantage of ongoing events by creating marketing communications around these events. It's literally hopping on a bandwagon.,True
https://fampay.in/blog/author/priyanka/,0.2628743648529053,0.23533868789672852,200,200,Priyanka Shiva - UnRead by FamPay,Priyanka Shiva - UnRead by FamPay,,,True
https://fampay.in/blog/the-story-behind-fampays-tech-stack/,0.2727842330932617,0.27141380310058594,200,200,The Story Behind FamPay's Tech Stack,The Story Behind FamPay's Tech Stack,A tech stack determines the kind of app that's built in the end. It was imperative for FamPay's Tech Team to curate an effective tech stack. Check out how!,A tech stack determines the kind of app that's built in the end. It was imperative for FamPay's Tech Team to curate an effective tech stack. Check out how!,True
https://fampay.in/blog/famstars-we-stress-less-and-accomplish-more/,0.41989588737487793,0.27388715744018555,200,200,We stress less and accomplish more: A guide on how we get things done at FamPay! 🙌,We stress less and accomplish more: A guide on how we get things done at FamPay! 🙌,"Every application and tool used at FamPay has a significant chunk of thought and research behind it that aims to streamline day-to-day tasks and deliver outputs efficiently. 💯
Wondering how we do it? Read on!","Every application and tool used at FamPay has a significant chunk of thought and research behind it that aims to streamline day-to-day tasks and deliver outputs efficiently. 💯
Wondering how we do it? Read on!",True
